key,width,height,avg_r,sd_r,avg_g,sd_g,avg_b,sd_b
LS21323_DJI_0001_clump_0001,222,160,148.96846846846847,8.861152678040273,150.97291666666666,10.472846627973484,144.78333333333333,35.44882212768487
LS21323_DJI_0001_clump_0002,400,244,128.905,16.282484710059865,133.30464480874318,25.47620405321937,125.68554303278688,27.45158965529422
LS21323_DJI_0001_clump_0003,324,314,129.43312757201647,18.470492909646165,148.5,10.585888736412393,136.5476429189274,32.81027050035401
LS21323_DJI_0001_clump_0004,248,160,138.18548387096774,11.643009995491552,132.25416666666666,17.45738810090317,139.23959173387098,29.105455681678606
LS21323_DJI_0001_clump_0005,162,238,127.63168724279835,9.23727820712603,120.8655462184874,9.841680389085854,127.14724037763253,25.308669786766007
LS21323_DJI_0001_clump_0006,264,250,128.40277777777777,15.097181567228024,144.784,24.692320209598233,132.9960303030303,30.121217469041046
LS21323_DJI_0001_clump_0007,196,198,143.7874149659864,15.893053870946577,149.6060606060606,7.7291936610183045,144.24799010513297,33.514355151441755
LS21323_DJI_0001_clump_0008,206,250,121.94660194174757,18.614868516246585,136.71733333333333,19.562960739338227,135.68677669902914,33.33897581869391
LS21323_DJI_0001_clump_0009,290,118,125.7022988505747,10.24593529735499,136.28531073446328,8.570443167648028,128.13842781998832,25.547444584972297
LS21323_DJI_0001_clump_0010,188,170,121.36524822695036,10.317027760833835,124.47843137254903,11.366726704323478,128.76157697121403,29.07764260803859
LS21323_DJI_0001_clump_0011,214,238,122.04984423676012,8.866648366026807,109.60504201680672,15.42146553437534,111.47274797769575,18.73720573154565
LS21323_DJI_0001_clump_0012,136,204,131.81127450980392,14.749914268382863,129.7140522875817,9.145426296300073,125.80911188004613,18.212947899325943
LS21323_DJI_0001_clump_0013,170,166,124.4,18.099095416676512,111.32128514056225,7.872298335260004,116.68706591070163,16.89428870219976
LS21323_DJI_0001_clump_0014,266,352,126.04260651629073,12.326111381027733,127.15530303030303,18.816008313336987,123.13578691045797,24.32117736757742
LS21323_DJI_0001_clump_0015,172,158,137.4593023255814,11.231025803483924,137.35021097046413,9.999774784268004,136.77605239917574,27.812296017980586
LS21323_DJI_0001_clump_0016,222,148,133.54204204204206,8.324799488321325,142.70945945945945,8.948239581040944,126.86973459946432,26.14151988870817
LS21323_DJI_0001_clump_0017,196,124,149.15986394557822,40.168119757830944,135.6720430107527,11.79005290229905,139.42486833443056,37.0273465352415
LS21323_DJI_0001_clump_0018,290,404,119.24942528735632,11.11718534587478,125.40346534653466,16.56215678878581,121.15090474564698,17.86942367641685
LS21323_DJI_0001_clump_0019,162,238,131.93827160493828,9.914671772389356,128.61624649859945,14.245685942911152,130.45764602137152,26.67900422460435
LS21323_DJI_0001_clump_0020,204,194,99.53921568627452,13.794124615018378,108.57388316151203,8.961575384644428,110.16034970689307,17.612833580385157
LS21323_DJI_0002_clump_0001,384,216,131.33072916666666,12.267737731613327,128.90277777777777,9.522299607490556,125.78226273148148,28.382536522445406
LS21323_DJI_0002_clump_0002,152,244,122.71052631578948,9.79032254384223,114.37704918032787,9.434555600561955,120.28472821397757,25.244934348465147
LS21323_DJI_0002_clump_0003,196,164,123.79931972789116,9.962883475996167,128.26626016260164,11.466469314219676,130.18837108013938,28.078170549970494
LS21323_DJI_0002_clump_0004,212,342,118.49056603773585,21.84705783755764,127.83040935672514,21.02807209450653,127.94412722056714,30.04405273156859
LS21323_DJI_0002_clump_0005,204,210,127.08006535947712,8.959702521667442,122.37142857142857,9.182720635881502,121.00646591970121,16.35877028654826
LS21323_DJI_0002_clump_0006,196,136,140.73809523809524,8.782874750836932,136.5686274509804,13.433758912094042,138.45610744297718,37.27324230665855
LS21323_DJI_0002_clump_0007,230,210,127.30724637681159,14.657780432253992,135.43492063492064,8.723334129049197,130.16438923395444,19.45378594962849
LS21323_DJI_0002_clump_0008,240,222,111.92777777777778,16.283011104131937,131.5165165165165,13.60888236250994,124.07516891891892,30.704605873644603
LS21323_DJI_0002_clump_0009,248,370,121.66397849462365,14.304766228769784,124.2954954954955,14.994746151298182,120.95559067131647,22.187066800659597
LS21323_DJI_0002_clump_0010,162,210,136.77572016460906,10.169808611641239,132.63015873015874,9.097603642624623,126.71778365667255,18.210818344819067
LS21323_DJI_0002_clump_0011,162,246,109.93004115226337,7.443286449346872,103.05555555555556,8.525008819283695,111.32552945899829,20.085279333583344
LS21323_DJI_0002_clump_0012,282,126,120.20449172576832,9.695702475378784,126.1984126984127,11.727293612334078,124.99355510525723,25.25049976718483
